Date,Display Temp mean,Display Temp max,Display Temp min,day icon
2023-04-23 00:00:00,24.849652812216018,28.100000381469727,23.299999237060547,cloudy
2023-04-24 00:00:00,23.99687495364083,26.399999618530273,22.700000762939453,cloudy
2023-04-25 00:00:00,22.361805591318344,24.299999237060547,20.200000762939453,cloudy
2023-04-26 00:00:00,21.67416659196218,24.399999618530273,19.600000381469727,cloudy
2023-04-27 00:00:00,23.196458415190378,27,21.299999237060547,cloudy
2023-04-28 00:00:00,25.06740795265394,29,22.5,sunny
2023-04-29 00:00:00,25.879604641282224,27.600000381469727,24.799999237060547,sunny
2023-04-30 00:00:00,24.75138887829251,27.600000381469727,22.700000762939453,sunny
2023-05-01 00:00:00,24.45402767923143,26.899999618530273,23.200000762939453,cloudy
2023-05-02 00:00:00,23.25565870352269,24.600000381469727,22.899999618530273,cloudy
